Event,Time,Fromnode,Tonode,Pkttype,PktSize,.....,Flags,Fid,Srcaddr,Dstaddr,Seqnum,Pktid
r,2.8418,1,2,cbr,1000,-------,2,1.0,0.0,342,5055,
r,2.8498,1,2,cbr,1000,-------,2,1.0,0.0,343,5071,
r,2.9058,1,2,cbr,1000,-------,2,1.0,0.0,350,5181,
r,2.9138,1,2,cbr,1000,-------,2,1.0,0.0,351,5197,
r,2.9298,1,2,cbr,1000,-------,2,1.0,0.0,353,5227,
r,2.9458,1,2,cbr,1000,-------,2,1.0,0.0,355,5259,
r,2.9538,1,2,cbr,1000,-------,2,1.0,0.0,356,5274,
r,2.9618,1,2,cbr,1000,-------,2,1.0,0.0,357,5289,
r,2.9858,1,2,cbr,1000,-------,2,1.0,0.0,360,5336,
r,2.9938,1,2,cbr,1000,-------,2,1.0,0.0,361,5354,
r,3.0018,1,2,cbr,1000,-------,2,1.0,0.0,362,5370,
r,3.0338,1,2,cbr,1000,-------,2,1.0,0.0,366,5433,
r,3.0418,1,2,cbr,1000,-------,2,1.0,0.0,367,5447,
r,3.0578,1,2,cbr,1000,-------,2,1.0,0.0,369,5480,
r,3.0658,1,2,cbr,1000,-------,2,1.0,0.0,370,5496,
r,3.0818,1,2,cbr,1000,-------,2,1.0,0.0,372,5526,
r,3.0898,1,2,cbr,1000,-------,2,1.0,0.0,373,5543,
r,3.1058,1,2,cbr,1000,-------,2,1.0,0.0,375,5573,
r,3.1138,1,2,cbr,1000,-------,2,1.0,0.0,376,5588,
r,3.1378,1,2,cbr,1000,-------,2,1.0,0.0,379,5635,
r,3.1858,1,2,cbr,1000,-------,2,1.0,0.0,385,5731,
r,3.1938,1,2,cbr,1000,-------,2,1.0,0.0,386,5746,
r,3.2098,1,2,cbr,1000,-------,2,1.0,0.0,388,5779,
r,3.2178,1,2,cbr,1000,-------,2,1.0,0.0,389,5795,
r,3.2338,1,2,cbr,1000,-------,2,1.0,0.0,391,5825,
r,3.2418,1,2,cbr,1000,-------,2,1.0,0.0,392,5841,
r,3.2578,1,2,cbr,1000,-------,2,1.0,0.0,394,5872,
r,3.2658,1,2,cbr,1000,-------,2,1.0,0.0,395,5887,
r,3.2898,1,2,cbr,1000,-------,2,1.0,0.0,398,5934,
r,3.3378,1,2,cbr,1000,-------,2,1.0,0.0,404,6030,
r,3.3458,1,2,cbr,1000,-------,2,1.0,0.0,405,6045,
r,3.3538,1,2,cbr,1000,-------,2,1.0,0.0,406,6059,
r,3.3778,1,2,cbr,1000,-------,2,1.0,0.0,409,6107,
r,3.3858,1,2,cbr,1000,-------,2,1.0,0.0,410,6124,
r,3.3938,1,2,cbr,1000,-------,2,1.0,0.0,411,6140,
r,3.4258,1,2,cbr,1000,-------,2,1.0,0.0,415,6205,
r,3.4338,1,2,cbr,1000,-------,2,1.0,0.0,416,6218,
r,3.4418,1,2,cbr,1000,-------,2,1.0,0.0,417,6233,
r,3.4658,1,2,cbr,1000,-------,2,1.0,0.0,420,6280,
r,3.4738,1,2,cbr,1000,-------,2,1.0,0.0,421,6296,
r,3.4818,1,2,cbr,1000,-------,2,1.0,0.0,422,6313,
r,3.4978,1,2,cbr,1000,-------,2,1.0,0.0,424,6344,
r,3.5058,1,2,cbr,1000,-------,2,1.0,0.0,425,6358,
r,3.5298,1,2,cbr,1000,-------,2,1.0,0.0,428,6406,
r,3.5378,1,2,cbr,1000,-------,2,1.0,0.0,429,6423,
r,3.5458,1,2,cbr,1000,-------,2,1.0,0.0,430,6439,
r,3.5778,1,2,cbr,1000,-------,2,1.0,0.0,434,6503,
r,3.5858,1,2,cbr,1000,-------,2,1.0,0.0,435,6517,
r,3.5938,1,2,cbr,1000,-------,2,1.0,0.0,436,6532,
r,3.6178,1,2,cbr,1000,-------,2,1.0,0.0,439,6579,
r,3.6258,1,2,cbr,1000,-------,2,1.0,0.0,440,6595,
r,3.6338,1,2,cbr,1000,-------,2,1.0,0.0,441,6611,
r,3.6498,1,2,cbr,1000,-------,2,1.0,0.0,443,6643,
r,3.6578,1,2,cbr,1000,-------,2,1.0,0.0,444,6657,
r,3.6818,1,2,cbr,1000,-------,2,1.0,0.0,447,6705,
r,3.7298,1,2,cbr,1000,-------,2,1.0,0.0,453,6801,
r,3.7378,1,2,cbr,1000,-------,2,1.0,0.0,454,6816,
r,3.7458,1,2,cbr,1000,-------,2,1.0,0.0,455,6830,
r,3.7698,1,2,cbr,1000,-------,2,1.0,0.0,458,6878,
r,3.7778,1,2,cbr,1000,-------,2,1.0,0.0,459,6894,
r,3.7858,1,2,cbr,1000,-------,2,1.0,0.0,460,6910,
r,3.8338,1,2,cbr,1000,-------,2,1.0,0.0,466,7004,
r,3.8578,1,2,cbr,1000,-------,2,1.0,0.0,469,7052,
r,3.8658,1,2,cbr,1000,-------,2,1.0,0.0,470,7066,
r,3.8818,1,2,cbr,1000,-------,2,1.0,0.0,472,7100,
r,3.8898,1,2,cbr,1000,-------,2,1.0,0.0,473,7115,
r,3.8978,1,2,cbr,1000,-------,2,1.0,0.0,474,7128,
r,3.9138,1,2,cbr,1000,-------,2,1.0,0.0,476,7164,
r,3.9298,1,2,cbr,1000,-------,2,1.0,0.0,478,7193,
r,3.9378,1,2,cbr,1000,-------,2,1.0,0.0,479,7209,
r,3.9698,1,2,cbr,1000,-------,2,1.0,0.0,483,7274,
r,3.9778,1,2,cbr,1000,-------,2,1.0,0.0,484,7288,
r,3.9858,1,2,cbr,1000,-------,2,1.0,0.0,485,7303,
r,4.0098,1,2,cbr,1000,-------,2,1.0,0.0,488,7346,
r,4.0178,1,2,cbr,1000,-------,2,1.0,0.0,489,7351,
r,4.0258,1,2,cbr,1000,-------,2,1.0,0.0,490,7352,
r,4.0338,1,2,cbr,1000,-------,2,1.0,0.0,491,7353,
r,4.0418,1,2,cbr,1000,-------,2,1.0,0.0,492,7354,
r,4.0498,1,2,cbr,1000,-------,2,1.0,0.0,493,7355,
r,4.0578,1,2,cbr,1000,-------,2,1.0,0.0,494,7356,
r,4.0658,1,2,cbr,1000,-------,2,1.0,0.0,495,7357,
r,4.0738,1,2,cbr,1000,-------,2,1.0,0.0,496,7358,
